,taxid,res_range
0,197,0.24937088251029627
1,287,0.18602327937148844
2,470,0.5062416363010045
3,485,0.21363755882922256
4,520,0.2628317895010468
5,546,0.41503647075885514
6,562,0.23879623828857582
7,573,0.20370345288938196
8,584,0.24212225894938755
9,588,0.4531244016701394
10,615,0.2632467832752789
11,632,0.30903912492616437
12,666,0.3950989915066341
13,820,0.44480725369143875
14,1238,0.3480058285595205
15,1280,0.4818473233007746
16,1311,0.3830421800292272
17,1351,0.5564067267302493
18,1352,0.3504162930451422
19,1404,0.592322330384625
20,1423,0.3129505356691757
21,1428,0.6181793939096343
22,1491,0.25429797713869756
23,1590,0.34895585721995553
24,1613,0.5361131708834955
25,1639,0.34409187744941533
26,1747,0.2928767491110417
27,1773,0.24877063559705526
28,2371,0.21790795678398764
29,28450,0.1930255110846659
30,28901,0.2972900438982975
31,29459,0.3016011896748856
32,39491,0.20512031604583486
33,158836,0.34349147897477916
34,244366,0.49273206128089797
35,437897,0.3667048704647459
36,492670,0.26539739551691294
