,taxid,res_range
0,9,1.2207825659829394
1,197,0.4343819814171047
2,210,0.7030607210951916
3,287,0.4432808416327927
4,303,1.0869278842073125
5,346,0.818902966974053
6,375,0.7319469492642723
7,384,1.6843702322870828
8,470,0.572559637364549
9,485,0.6108204071092526
10,520,0.6455640601899303
11,546,0.61177122224444
12,549,0.7129422862890813
13,562,0.6051902556141211
14,564,0.8123373193079559
15,573,0.47241819021081405
16,584,0.45499090200567566
17,588,0.6715279847946919
18,615,0.6460241523152799
19,623,1.3074321628905656
20,632,0.6992539152661092
21,654,1.3936352885106134
22,666,0.7861919033933659
23,669,0.943242574633441
24,670,0.9115916425727406
25,820,0.631006895176107
26,823,0.5417483615659753
27,1238,0.8883016811115544
28,1280,0.72555455740107
29,1282,1.0090365558383918
30,1308,0.6086213191967377
31,1311,0.5718393042935651
32,1314,0.7447694470077196
33,1351,0.466735432222291
34,1352,0.41071542128719074
35,1396,0.6860333071243048
36,1404,0.6119592639322676
37,1423,0.7020213693415596
38,1428,0.4484451633641472
39,1491,0.4330518874019237
40,1496,1.5703767740972319
41,1502,0.639418080667965
42,1584,1.06412943968359
43,1590,0.43399857117807655
44,1613,0.41303040854158957
45,1639,0.5459684538454114
46,1747,0.370736237286468
47,1773,0.3590572956237734
48,2371,0.5427786308427451
49,28450,0.438033141226296
50,28901,0.6722750876877785
51,29459,0.5153365327808355
52,37734,1.3974656700795625
53,39491,0.5130332933322884
54,61645,0.9064273687228215
55,74426,1.3520646627802662
56,80868,1.124423600977865
57,129921,1.0127582213362858
58,158836,0.40352654067149335
59,208962,0.9857492600571479
60,216816,0.5718536430140533
61,221822,1.0036859185739102
62,239935,0.9581181756607233
63,240521,1.7498554121680605
64,244366,0.4763744548656138
65,246167,0.9810203103242878
66,292800,1.4730898256150378
67,328813,1.35350716861437
68,437897,0.6273184659354907
69,492670,0.6423954262352038
70,515393,1.6472189517881841
71,682956,1.3482900383911929
72,1463165,0.6471341869362256
73,1686378,0.8115820405644325
74,1795815,1.3807990668146777
75,2231721,1.6545718486411978
76,2596898,0.4846228261470397
77,2706126,2.4292340376652155
78,2731552,1.8890148548008425
79,2759705,1.502463563561259
80,3230736,1.7718101029386268
81,3415675,2.2419074797189475
