,taxid,res_range
0,9,1.1801015899894036
1,197,0.30750230804747436
2,210,0.7079825499439031
3,287,0.32020953385158574
4,303,1.101299543059295
5,346,0.7935852640641015
6,375,0.743831892131462
7,470,0.5081525545101896
8,485,0.42430701514254576
9,520,0.46309062119238714
10,546,0.5290443502767875
11,549,0.7508872318412053
12,562,0.43832042602380683
13,564,0.695081958191119
14,573,0.3430154440309124
15,584,0.339099788415199
16,588,0.5888852291783152
17,615,0.46373662043970154
18,632,0.5118118321240595
19,666,0.5955850070781915
20,669,0.8630371074791505
21,670,0.7797085344699262
22,820,0.5591041639642387
23,823,0.534869357764042
24,1238,0.5346213729731708
25,1280,0.5865585489685504
26,1282,0.9184840876683544
27,1308,0.5497206831870822
28,1311,0.4713307256535749
29,1314,0.7144738311768641
30,1351,0.45236484243402314
31,1352,0.2798750683636191
32,1396,0.6460249780283508
33,1404,0.5069547614525137
34,1423,0.5154309515620193
35,1428,0.44593260951817393
36,1491,0.32772982472403067
37,1502,0.5771474150017952
38,1584,1.0356061900923033
39,1590,0.3148784443681173
40,1613,0.45290764537275596
41,1639,0.417454960011848
42,1747,0.31494718170810215
43,1773,0.3059475706090151
44,2371,0.3785801397098727
45,28450,0.32873767435041423
46,28901,0.5051438762196714
47,29459,0.4122875447987293
48,39491,0.38601495621012544
49,61645,0.8353728087381863
50,80868,1.0837378055884552
51,129921,0.9822340866659274
52,158836,0.3920020733243539
53,208962,0.6768979220180874
54,216816,0.6293800528384941
55,221822,0.9674816950804397
56,239935,0.9234600820398855
57,244366,0.5064586930169868
58,246167,0.9080660620968544
59,437897,0.4950603895524775
60,492670,0.4684359181173507
61,1463165,0.6500932730580085
62,1686378,0.641743283323097
63,2596898,0.5235334020221638
